"Population Projections by Sex, and Totals, 2010-2040 Wisconsin Counties, Final Release",,,,,,,,,,,,,,,,,,,,,
Vintage 2013 projections,,,,,,,,,,,,,,,,,,,,,
County Name,PopMale 2010,PopMale 2015,PopMale 2020,PopMale 2025,PopMale 2030,PopMale 2035,PopMale 2040,PopFem 2010,PopFem 2015,PopFem 2020,PopFem 2025,PopFem 2030,PopFem 2035,PopFem 2040,PopAll 2010,PopAll 2015,PopAll 2020,PopAll 2025,PopAll 2030,PopAll 2035,PopAll 2040
 Monroe ," 22,648 ","  23,425 ","  24,730 ","  26,035 ","  27,075 ","  27,530 ","  27,620 ","  22,025 ","  22,685 ","  23,870 ","  24,940 ","  25,875 ","  26,440 ","  26,790 ","  44,673 ","  46,110 ","  48,600 ","  50,975 ","  52,950 ","  53,970 ","  54,410 "
 Oconto ," 19,194 ","  19,385 ","  20,890 ","  22,390 ","  23,525 ","  23,845 ","  23,500 ","  18,466 ","  18,665 ","  19,730 ","  20,640 ","  21,325 ","  21,585 ","  21,485 ","  37,660 ","  38,050 ","  40,620 ","  43,030 ","  44,850 ","  45,430 ","  44,985 "
 Oneida ," 17,993 ","  17,960 ","  18,935 ","  20,100 ","  20,925 ","  20,905 ","  20,250 ","  18,005 ","  17,865 ","  18,330 ","  18,805 ","  19,060 ","  18,840 ","  18,250 ","  35,998 ","  35,825 ","  37,265 ","  38,905 ","  39,985 ","  39,745 ","  38,500 "
 Outagamie ," 88,130 ","  90,325 ","  95,565 ","  99,780 ","  103,490 ","  105,780 ","  106,720 ","  88,565 ","  90,670 ","  96,070 ","  100,850 ","  105,240 ","  107,720 ","  108,570 ","  176,695 ","  180,995 ","  191,635 ","  200,630 ","  208,730 ","  213,500 ","  215,290 "
 Ozaukee ," 42,340 ","  42,210 ","  43,955 ","  45,205 ","  46,295 ","  46,580 ","  46,150 ","  44,055 ","  43,840 ","  45,760 ","  47,330 ","  48,660 ","  48,890 ","  48,220 ","  86,395 ","  86,050 ","  89,715 ","  92,535 ","  94,955 ","  95,470 ","  94,370 "
 Pepin ," 3,780 ","  3,815 ","  3,760 ","  3,750 ","  3,695 ","  3,620 ","  3,450 ","  3,689 ","  3,675 ","  3,660 ","  3,655 ","  3,620 ","  3,570 ","  3,435 ","  7,469 ","  7,490 ","  7,420 ","  7,405 ","  7,315 ","  7,190 ","  6,885 "
 Pierce ," 20,420 ","  20,830 ","  21,840 ","  22,615 ","  23,225 ","  23,345 ","  23,465 ","  20,599 ","  20,970 ","  21,735 ","  22,390 ","  22,900 ","  23,130 ","  23,360 ","  41,019 ","  41,800 ","  43,575 ","  45,005 ","  46,125 ","  46,475 ","  46,825 "
 Polk ," 22,177 ","  22,270 ","  23,950 ","  25,515 ","  26,740 ","  27,235 ","  26,945 ","  22,028 ","  22,120 ","  23,730 ","  25,245 ","  26,500 ","  26,995 ","  26,880 ","  44,205 ","  44,390 ","  47,680 ","  50,760 ","  53,240 ","  54,230 ","  53,825 "
 Portage ," 34,984 ","  35,800 ","  36,880 ","  37,680 ","  38,255 ","  38,380 ","  38,365 ","  35,035 ","  36,105 ","  36,800 ","  37,450 ","  37,920 ","  38,370 ","  38,500 ","  70,019 ","  71,905 ","  73,680 ","  75,130 ","  76,175 ","  76,750 ","  76,865 "
 Price ," 7,180 ","  7,000 ","  6,880 ","  6,805 ","  6,645 ","  6,365 ","  5,875 ","  6,979 ","  6,700 ","  6,610 ","  6,555 ","  6,430 ","  6,225 ","  5,770 ","  14,159 ","  13,700 ","  13,490 ","  13,360 ","  13,075 ","  12,590 ","  11,645 "
