Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
ALTIV FP Equity,Tivoly,EUR,FP,FR,Common Stock,42.05,6748.867
DSY EU Equity,Dassault Systemes SE,EUR,EU,FR,Common Stock,38.945,3031444
ALESE FP Equity,Entech SACA,EUR,FP,FR,Common Stock,7.11,1820.133
ALJXR FP Equity,Archos,EUR,FP,FR,Common Stock,1.0478,74374.23
SQI FP Equity,Sqli SA,EUR,FP,FR,Common Stock,29.4,595.2667
VIE EU Equity,Veolia Environnement SA,EUR,EU,FR,Common Stock,26.295,4430221
ABNX FP Equity,Abionyx Pharma SA,EUR,FP,FR,Common Stock,1.84,49297.93
OPA TH Equity,Orpea SA,EUR,TH,FR,Common Stock,25.66,2974.1
PRC FP Equity,Artmarket.com,EUR,FP,FR,Common Stock,8.2,16184.37
VRAP FP Equity,Vranken-Pommery Monopole SA,EUR,FP,FR,Common Stock,17.5,1330.533
CC FP Equity,Credit Industriel Et Commercial SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
CRBP2 FP Equity,Caisse Regionale de Credit Agricole Mutuel Brie Picardie,EUR,FP,FR,Common Stock,20.21,6422.267
SGE GY Equity,Societe Generale SA,EUR,GY,FR,Common Stock,25.54,9627.467
SU EU Equity,Schneider Electric SE,EUR,EU,FR,Common Stock,128.78,3312167
ALHUN FP Equity,Hunyvers SACA,EUR,FP,FR,Common Stock,12,719.0333
BASS FP Equity,Bassac SACA,EUR,FP,FR,Common Stock,65.6,600.9
AFR TH Equity,Air France-KLM,EUR,TH,FR,Common Stock,1.764,193101.2
SANP S1 Equity,Sanofi,EUR,S1,FR,Common Stock,99.995,2810.9
ALSAF FP Equity,Safe SA /FR,EUR,FP,FR,Common Stock,0.067,341520.5
LYS FP Equity,Lysogene SA,EUR,FP,FR,Common Stock,0.788,56715.57
FLO FP Equity,Groupe Flo,EUR,FP,FR,Common Stock,17.4,204.5333
GLE EU Equity,Societe Generale SA,EUR,EU,FR,Common Stock,25.455,10034850
ALCHI FP Equity,Alchimie SAS,EUR,FP,FR,Common Stock,3.96,4210.933
AIR AV Equity,Airbus SE,EUR,AV,FR,Common Stock,109.78,11.73333
CAF FP Equity,Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile-de-France,EUR,FP,FR,Common Stock,75.5,365.6333
ALACT FP Equity,Acticor Biotech SAS,EUR,FP,FR,Common Stock,6.9,3474.133
ALPIX FP Equity,Pixium Vision SA,EUR,FP,FR,Common Stock,0.537,95873.93
EI1 EU Equity,EssilorLuxottica SA,EUR,EU,FR,Common Stock,150.1,1335778
AFR GR Equity,Air France-KLM,EUR,GR,FR,Common Stock,1.76,95664.8
EGR FP Equity,Transition Evergreen,EUR,FP,FR,Common Stock,2.8,7718.1
