Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol,ISIN
VIS SM Equity,Viscofan SA,EUR,SM,ES,Common Stock,50.45,66101.47,
TL5 SM Equity,Mediaset Espana Comunicacion SA,EUR,SM,ES,Common Stock,4.102,371074.4,
MAP SM Equity,Mapfre SA,EUR,SM,ES,Common Stock,1.746,5903050,
UNI SM Equity,Unicaja Banco SA,EUR,SM,ES,Common Stock,0.945,2736664,
LOG SM Equity,Cia de Distribucion Integral Logista Holdings SA,EUR,SM,ES,Common Stock,18.15,230358.9,
SOL SM Equity,Soltec Power Holdings SA,EUR,SM,ES,Common Stock,4.28,417306.3,
CIE SM Equity,CIE Automotive SA,EUR,SM,ES,Common Stock,24.52,215068.1,
SGRE SQ Equity,Siemens Gamesa Renewable Energy SA,EUR,SQ,ES,Common Stock,18.025,3187500,
CASH SM Equity,Prosegur Cash SA,EUR,SM,ES,Common Stock,0.712,746969.3,
AEDAS SM Equity,Aedas Homes SA,EUR,SM,ES,Common Stock,21.9,7221.333,
CAF SM Equity,Construcciones y Auxiliar de Ferrocarriles SA,EUR,SM,ES,Common Stock,30.25,55735,
ENC SM Equity,Ence Energia y Celulosa SA,EUR,SM,ES,Common Stock,3.644,926910.1,
PRS SM Equity,Promotora de Informaciones SA,EUR,SM,ES,Common Stock,0.579,107234.2,
PSG SM Equity,Prosegur Cia de Seguridad SA,EUR,SM,ES,Common Stock,1.859,497611.5,
DIA SM Equity,Distribuidora Internacional de Alimentacion SA,EUR,SM,ES,Common Stock,0.0143,33784670,
TLGO SM Equity,Talgo SA,EUR,SM,ES,Common Stock,3.81,137793.1,
IBE SQ Equity,Iberdrola SA,EUR,SQ,ES,Common Stock,10.925,14554140,
2058002D SM Equity,Ferrovial SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
SAN SQ Equity,Banco Santander SA,EUR,SQ,ES,Common Stock,3.038,70149620,
LDA SM Equity,Linea Directa Aseguradora SA Cia de Seguros y Reaseguros,EUR,SM,ES,Common Stock,1.303,628986.9,
ITX SQ Equity,Industria de Diseno Textil SA,EUR,SQ,ES,Common Stock,22.53,7190726,
OHLA SM Equity,Obrascon Huarte Lain SA,EUR,SM,ES,Common Stock,0.744,1278478,
FER SQ Equity,Ferrovial SA,EUR,SQ,ES,Common Stock,24.11,1284244,
TUB SM Equity,Tubacex SA,EUR,SM,ES,Common Stock,2.47,365337.6,
TEF SQ Equity,Telefonica SA,EUR,SQ,ES,Common Stock,4.81,21050970,
ENO SM Equity,Elecnor SA,EUR,SM,ES,Common Stock,12.35,20144.83,
ADX SM Equity,Audax Renovables SA,EUR,SM,ES,Common Stock,1.252,410347.1,
ABE SM Equity,Abertis Infraestructuras SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
ZOT SM Equity,Zardoya Otis SA,EUR,SM,ES,Common Stock,#N/A N/A,11947.47,
DOM SM Equity,Global Dominion Access SA,EUR,SM,ES,Common Stock,4.125,118291.5,
GCO SM Equity,Grupo Catalana Occidente SA,EUR,SM,ES,Common Stock,28.9,36152.87,
NHH SM Equity,NH Hotel Group SA,EUR,SM,ES,Common Stock,3.9,59340.5,
ATRY SM Equity,Atrys Health SA,EUR,SM,ES,Common Stock,7.5,18447.63,
YMHRE SM Equity,Millenium Hotels Real Estate SL,EUR,SM,ES,Common Stock,3.88,4849.667,
CLNX SQ Equity,Cellnex Telecom SA,EUR,SQ,ES,Common Stock,41.53,1467162,
BBVA SQ Equity,Banco Bilbao Vizcaya Argentaria SA,EUR,SQ,ES,Common Stock,5.099,21127900,
EAT PW Equity,AmRest Holdings SE,PLN,PW,ES,Common Stock,18.6,72180.8,
EBRO SM Equity,Ebro Foods SA,EUR,SM,ES,Common Stock,16.58,43268.46,
PHM SM Equity,Pharma Mar SA,EUR,SM,ES,Common Stock,72.42,55122,
GRF SQ Equity,Grifols SA,EUR,SQ,ES,Common Stock,19.56,1322261,
EIDF SM Equity,Energia Innovacion y Desarrollo Fotovoltaico SA,EUR,SM,ES,Common Stock,60.2,29059.6,
REP SQ Equity,Repsol SA,EUR,SQ,ES,Common Stock,14.98,9669926,
FCC SM Equity,Fomento de Construcciones y Contratas SA,EUR,SM,ES,Common Stock,11.3,41645.9,
A3M SM Equity,Atresmedia Corp de Medios de Comunicacion SA,EUR,SM,ES,Common Stock,4.058,353759.8,
CABK SQ Equity,CaixaBank SA,EUR,SQ,ES,Common Stock,3.433,18900530,
FAE SM Equity,Faes Farma SA,EUR,SM,ES,Common Stock,4.015,383469.6,
ENER SM Equity,Grupo Ecoener SA,EUR,SM,ES,Common Stock,5.62,24436.77,
ALB SM Equity,Corp Financiera Alba SA,EUR,SM,ES,Common Stock,56,33802.96,
AMS SQ Equity,Amadeus IT Group SA,EUR,SQ,ES,Common Stock,57.78,786239.4,
VOC SM Equity,Vocento SA,EUR,SM,ES,Common Stock,0.858,141038.1,
MAKS SM Equity,Making Science Group SA,EUR,SM,ES,Common Stock,19.2,517.2667,
CDR SM Equity,Codere SA/Spain,EUR,SM,ES,Common Stock,#N/A N/A,0,
ALNT SM Equity,Alantra Partners SA,EUR,SM,ES,Common Stock,14,10212.37,
2018603D SM Equity,Talgo SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
HLZ SM Equity,Holaluz-Clidom SA,EUR,SM,ES,Common Stock,11.35,5384.067,
MCM SM Equity,Miquel y Costas & Miquel SA,EUR,SM,ES,Common Stock,12.46,16500.03,
GRN SM Equity,Greenalia SA,EUR,SM,ES,Common Stock,17.3,13185.57,
GTQ1 GY Equity,Siemens Gamesa Renewable Energy SA,EUR,GY,ES,Common Stock,18,16160.8,
SAB SQ Equity,Banco de Sabadell SA,EUR,SQ,ES,Common Stock,0.8408,38377070,
ABG SM Equity,Abengoa SA,EUR,SM,ES,Common Stock,0.0165,0,
PRM SM Equity,Prim SA,EUR,SM,ES,Common Stock,14.2,3332.967,
YIPS SM Equity,Inversa Prime SOCIMI SA,EUR,SM,ES,Common Stock,1.3,28800.8,
ENRS SM Equity,Enerside Energy SA,EUR,SM,ES,Common Stock,6.5,36617.8,
ALM SQ Equity,Almirall SA,EUR,SQ,ES,Common Stock,10.43,385647.4,
SQRL SM Equity,Squirrel Media SA,EUR,SM,ES,Common Stock,3.5,4866.7,
SAI SM Equity,Substrate Artificial Inteligence SA,EUR,SM,ES,Common Stock,1.9,#N/A N/A,
ELE SQ Equity,Endesa SA,EUR,SQ,ES,Common Stock,20.56,1059842,
NTGY SQ Equity,Naturgy Energy Group SA,EUR,SQ,ES,Common Stock,27.9,558176.7,
OLE SM Equity,Deoleo SA,EUR,SM,ES,Common Stock,0.361,1055715,
ABG/P SM Equity,Abengoa SA,EUR,SM,ES,Common Stock,0.0065,0,
ACS SQ Equity,ACS Actividades de Construccion y Servicios SA,EUR,SQ,ES,Common Stock,26.54,762396.9,
IBG SM Equity,Iberpapel Gestion SA,EUR,SM,ES,Common Stock,15.9,9559.6,
GTQ1 TH Equity,Siemens Gamesa Renewable Energy SA,EUR,TH,ES,Common Stock,17.995,50196.07,
TEF EU Equity,Telefonica SA,EUR,EU,ES,Common Stock,4.81,38042660,
ART SM Equity,Arteche Lantegi Elkartea SA,EUR,SM,ES,Common Stock,3.1,12864.57,
RLIA SM Equity,Realia Business SA,EUR,SM,ES,Common Stock,0.96,64289.8,
GRE SQ Equity,Grenergy Renovables SA,EUR,SQ,ES,Common Stock,39.64,57102.27,
ENG SQ Equity,Enagas SA,EUR,SQ,ES,Common Stock,21.45,959319.7,
FDR SQ Equity,Fluidra SA,EUR,SQ,ES,Common Stock,24.7,499651.3,
BKIA SM Equity,Bankia SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
ORY SM Equity,Oryzon Genomics SA,EUR,SM,ES,Common Stock,2.47,87131.4,
ANA SQ Equity,Acciona SA,EUR,SQ,ES,Common Stock,187.7,182993.3,
AMP SM Equity,Amper SA,EUR,SM,ES,Common Stock,0.248,2050363,
CBAV SM Equity,Clinica Baviera SA,EUR,SM,ES,Common Stock,23.9,1253.467,
SPH SM Equity,Profithol SL,EUR,SM,ES,Common Stock,9.1,1948.1,
AGIL SM Equity,Agile Content SA,EUR,SM,ES,Common Stock,5.6,11037.33,
HOME SQ Equity,Neinor Homes SA,EUR,SQ,ES,Common Stock,11.4,275959.2,
BKT SQ Equity,Bankinter SA,EUR,SQ,ES,Common Stock,5.964,2555356,
RJF SM Equity,Laboratorio Reig Jofre SA,EUR,SM,ES,Common Stock,3.05,16371.87,
ISUR SM Equity,Inmobiliaria del Sur SA,EUR,SM,ES,Common Stock,8.1,1881.533,
TLGO SQ Equity,Talgo SA,EUR,SQ,ES,Common Stock,3.81,137793.1,
ANE SQ Equity,Corp ACCIONA Energias Renovables SA,EUR,SQ,ES,Common Stock,36.6,184369.6,
LBK SM Equity,Liberbank SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
REE SQ Equity,Red Electrica Corp SA,EUR,SQ,ES,Common Stock,19.22,1369530,
CLNXEUR EU Equity,Cellnex Telecom SA,EUR,EU,ES,Common Stock,41.54,3815539,
UBS SM Equity,Urbas Grupo Financiero SA,EUR,SM,ES,Common Stock,0.014,7433865,
LLN SM Equity,Lleidanetworks Serveis Telematics SA,EUR,SM,ES,Common Stock,3.78,70881.53,
TRG SM Equity,Tubos Reunidos SA,EUR,SM,ES,Common Stock,0.36,193366,
PAR SM Equity,Parlem Telecom Co De Telecomunicacions SA,EUR,SM,ES,Common Stock,5.86,8833.767,
MEL SQ Equity,Melia Hotels International SA,EUR,SQ,ES,Common Stock,7.555,1045733,
SNG SM Equity,Singular People SA,EUR,SM,ES,Common Stock,4.08,11874.17,
R4 SM Equity,Renta 4 Banco SA,EUR,SM,ES,Common Stock,9.82,2826.433,
AENA SQ Equity,Aena SME SA,EUR,SQ,ES,Common Stock,141.4,165032.5,
FERE S1 Equity,Ferrovial SA,EUR,S1,ES,Common Stock,#N/A N/A,0,
EAT SM Equity,AmRest Holdings SE,EUR,SM,ES,Common Stock,4.1,9273.833,
CMO SM Equity,Cementos Molins SA,EUR,SM,ES,Common Stock,17,1914.333,
VIS SQ Equity,Viscofan SA,EUR,SQ,ES,Common Stock,50.45,66101.47,
ECR SM Equity,Ercros SA,EUR,SM,ES,Common Stock,3.445,164037.4,
GSJ SM Equity,Grupo Empresarial San Jose SA,EUR,SM,ES,Common Stock,4.35,15985.17,
BNC LN Equity,Banco Santander SA,GBp,LN,ES,Common Stock,258.45,414841.7,
CITY SM Equity,Club de Futbol Intercity Sant Joan,EUR,SM,ES,Common Stock,0.71,26419.37,
GIGA SM Equity,Gigas Hosting SA,EUR,SM,ES,Common Stock,8.9,2282.8,
REP EU Equity,Repsol SA,EUR,EU,ES,Common Stock,14.98,18976950,
MAP SQ Equity,Mapfre SA,EUR,SQ,ES,Common Stock,1.746,5903050,
PRO SM Equity,Proeduca Altus SL,EUR,SM,ES,Common Stock,18.3,578.0667,
EDR SQ Equity,eDreams ODIGEO SA,EUR,SQ,ES,Common Stock,6.97,136984.1,
IZER SM Equity,Izertis SA,EUR,SM,ES,Common Stock,8.08,14908.67,
IDR SQ Equity,Indra Sistemas SA,EUR,SQ,ES,Common Stock,10.27,761460.7,
KOM SM Equity,Plasticos Compuestos SA,EUR,SM,ES,Common Stock,1.9,10517.73,
EZE SM Equity,Grupo Ezentis SA,EUR,SM,ES,Common Stock,0.1652,488752.9,
0852019D SM Equity,Abanca Corp Bancaria SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
GAM EU Equity,Siemens Gamesa Renewable Energy SA,EUR,EU,ES,Common Stock,18.025,7293832,
AZK SM Equity,Azkoyen SA,EUR,SM,ES,Common Stock,6.28,4450.467,
SAN* MM Equity,Banco Santander SA,MXN,MM,ES,Common Stock,62,19285.17,
BME SM Equity,Bolsas y Mercados Espanoles SHMSF SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
ROVI SQ Equity,Laboratorios Farmaceuticos Rovi SA,EUR,SQ,ES,Common Stock,62.15,134738.7,
FACE SM Equity,Facephi Biometria SA,EUR,SM,ES,Common Stock,2.98,18237.9,
NXT SM Equity,Nueva Expresion Textil SA,EUR,SM,ES,Common Stock,0.406,38298.3,
LLYC SM Equity,Llorente & Cuenca Madrid SL,EUR,SM,ES,Common Stock,11.6,1240.533,
IDR EU Equity,Indra Sistemas SA,EUR,EU,ES,Common Stock,10.275,1615721,
TL5 SQ Equity,Mediaset Espana Comunicacion SA,EUR,SQ,ES,Common Stock,4.102,371074.4,
CABK EU Equity,CaixaBank SA,EUR,EU,ES,Common Stock,3.433,46641400,
CEP SM Equity,Cia Espanola de Petroleos SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
GALQ SM Equity,General de Alquiler de Maquinaria SA,EUR,SM,ES,Common Stock,1.3,4958.567,
EDPR EU Equity,EDP Renovaveis SA,EUR,EU,ES,Common Stock,22.88,1715433,
GRF EU Equity,Grifols SA,EUR,EU,ES,Common Stock,19.56,3325532,
1091Z SM Equity,Ibercaja Banco SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
REN SM Equity,Renta Corp Real Estate SA,EUR,SM,ES,Common Stock,1.82,17240.63,
SLR SQ Equity,Solaria Energia y Medio Ambiente SA,EUR,SQ,ES,Common Stock,21.65,511800.4,
ACX SQ Equity,Acerinox SA,EUR,SQ,ES,Common Stock,12.11,1495745,
NEA SM Equity,Nicolas Correa SA,EUR,SM,ES,Common Stock,5.2,7075.2,
ABG/P SQ Equity,Abengoa SA,EUR,SQ,ES,Common Stock,0.0065,0,
AI SM Equity,Airtificial Intelligence Structures SA,EUR,SM,ES,Common Stock,0.0865,905572.7,
GYG LN Equity,GYG PLC,GBp,LN,ES,Common Stock,37.5,18231.1,
TRE SQ Equity,Tecnicas Reunidas SA,EUR,SQ,ES,Common Stock,9.96,258484.3,
ALC SM Equity,Altia Consultores SA,EUR,SM,ES,Common Stock,25.8,172.9,
CAF SQ Equity,Construcciones y Auxiliar de Ferrocarriles SA,EUR,SQ,ES,Common Stock,30.25,55735,
EBRO SQ Equity,Ebro Foods SA,EUR,SQ,ES,Common Stock,16.58,43268.46,
SPK SM Equity,Solarpack Corp Tecnologica SA,EUR,SM,ES,Common Stock,#N/A N/A,0,
8944546Z SM Equity,Primafrio SL,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
APPS SQ Equity,Applus Services SA,EUR,SQ,ES,Common Stock,7.005,232939.8,
0HIT LI Equity,Iberdrola SA,EUR,LI,ES,Common Stock,10.753,284398.9,
MMBMF US Equity,Masmovil Ibercom SA,USD,US,ES,Common Stock,#N/A N/A,#N/A N/A,
GESTEUR EU Equity,Gestamp Automocion SA,EUR,EU,ES,Common Stock,3.794,968971.3,
BBVA* MM Equity,Banco Bilbao Vizcaya Argentaria SA,MXN,MM,ES,Common Stock,107.5,15862.13,
ALME EB Equity,Almirall SA,EUR,EB,ES,Common Stock,10.451,319844.8,
FERE EB Equity,Ferrovial SA,EUR,EB,ES,Common Stock,23.903,637790.8,
NHH SQ Equity,NH Hotel Group SA,EUR,SQ,ES,Common Stock,3.9,59340.5,
ADL SM Equity,ADL Bionatur Solutions SA,EUR,SM,ES,Common Stock,0.302,189358.7,
UNI SQ Equity,Unicaja Banco SA,EUR,SQ,ES,Common Stock,0.945,2736664,
FDR1 EU Equity,Fluidra SA,EUR,EU,ES,Common Stock,24.72,1174664,
COM SM Equity,Catenon SA,EUR,SM,ES,Common Stock,2.04,41674.83,
LIB SM Equity,Libertas 7 SA,EUR,SM,ES,Common Stock,1.5,2573.133,
PANG SM Equity,Pangaea Oncology SA,EUR,SM,ES,Common Stock,1.72,447.2667,
EKT SM Equity,Euskaltel SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
YOVA SM Equity,Optimum III Value-Added Residential Socimi SA,EUR,SM,ES,Common Stock,9.85,98.26667,
ALQ SM Equity,Alquiber Quality SA,EUR,SM,ES,Common Stock,5.85,971.9333,
HOMEE EB Equity,Neinor Homes SA,EUR,EB,ES,Common Stock,11.143,64553,
480S SM Equity,Soluciones Cuatroochenta SA,EUR,SM,ES,Common Stock,16.3,296.2,
ENRS SQ Equity,Enerside Energy SA,EUR,SQ,ES,Common Stock,6.5,36617.8,
ECO SM Equity,Ecolumber S.A.,EUR,SM,ES,Common Stock,1.05,0,
1339Z SM Equity,Real Madrid Football Club,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
END SM Equity,Endurance Motive SA,EUR,SM,ES,Common Stock,3.83,20688.67,
AMS3 EU Equity,Amadeus IT Group SA,EUR,EU,ES,Common Stock,57.78,1956640,
GTQ1 GR Equity,Siemens Gamesa Renewable Energy SA,EUR,GR,ES,Common Stock,17.995,20694.13,
PVA SM Equity,Pescanova SA,EUR,SM,ES,Common Stock,0.3715,48068.9,
VYT SM Equity,Vytrus Biotech SA,EUR,SM,ES,Common Stock,3.5,3524.533,
POP SM Equity,Banco Popular Espanol SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
ABG SQ Equity,Abengoa SA,EUR,SQ,ES,Common Stock,0.0165,0,
SCYR SQ Equity,Sacyr SA,EUR,SQ,ES,Common Stock,2.674,2243301,
MVC SQ Equity,Metrovacesa SA,EUR,SQ,ES,Common Stock,7.07,227815.7,
YADV SM Equity,Advero Properties Socimi SA,EUR,SM,ES,Common Stock,9.7,381.9667,
MDF SM Equity,Duro Felguera SA,EUR,SM,ES,Common Stock,0.94,355725.1,
NBI SM Equity,NBI Bearings Europe SA,EUR,SM,ES,Common Stock,5.45,2505.233,
PQR SM Equity,Parques Reunidos Servicios Centrales SAU,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
SAN EU Equity,Banco Santander SA,EUR,EU,ES,Common Stock,3.038,140454100,
IBE EU Equity,Iberdrola SA,EUR,EU,ES,Common Stock,10.923,31420460,
IBLA SM Equity,Iberia Lineas Aereas de Espana SA Operadora,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
CLR SM Equity,Clerhp Estructuras SA,EUR,SM,ES,Common Stock,2.25,34266.93,
PSG SQ Equity,Prosegur Cia de Seguridad SA,EUR,SQ,ES,Common Stock,1.859,497611.5,
FCC SQ Equity,Fomento de Construcciones y Contratas SA,EUR,SQ,ES,Common Stock,11.3,41645.9,
NTH SM Equity,Naturhouse Health SAU,EUR,SM,ES,Common Stock,1.795,8705.066,
ENCE QX Equity,Ence Energia y Celulosa SA,EUR,QX,ES,Common Stock,3.476,1.066667,
SOL SQ Equity,Soltec Power Holdings SA,EUR,SQ,ES,Common Stock,4.28,417306.3,
SAN* MF Equity,Banco Santander SA,MXN,MF,ES,Common Stock,62,19247.93,
IBE1 GY Equity,Iberdrola SA,EUR,GY,ES,Common Stock,10.92,22143.93,
IBDSF US Equity,Iberdrola SA,USD,US,ES,Common Stock,11.9325,30860.30078,
VID SQ Equity,Vidrala SA,EUR,SQ,ES,Common Stock,75.4,34023.46,
ANEEUR EU Equity,Corp ACCIONA Energias Renovables SA,EUR,EU,ES,Common Stock,36.56,421258.8,
CABKE I2 Equity,CaixaBank SA,EUR,I2,ES,Common Stock,3.433,9746796,
BCDRF US Equity,Banco Santander SA,USD,US,ES,Common Stock,3.15,347784.4063,
PHM SQ Equity,Pharma Mar SA,EUR,SQ,ES,Common Stock,72.42,55122,
PRS SQ Equity,Promotora de Informaciones SA,EUR,SQ,ES,Common Stock,0.579,107234.2,
EIDF SQ Equity,Energia Innovacion y Desarrollo Fotovoltaico SA,EUR,SQ,ES,Common Stock,60.2,29059.6,
LOG SQ Equity,Cia de Distribucion Integral Logista Holdings SA,EUR,SQ,ES,Common Stock,18.15,230358.9,
BAIN SM Equity,Borges Agricultural & Industrial Nuts SA,EUR,SM,ES,Common Stock,2.68,447.9667,
GEST SQ Equity,Gestamp Automocion SA,EUR,SQ,ES,Common Stock,3.794,488373.2,
ALMKS FP Equity,Making Science Group SA,EUR,FP,ES,Common Stock,20.4,1,
SNTA CN Equity,Strategic Minerals Europe Corp,CAD,CN,ES,Common Stock,0.34,11046.7,
VLG SM Equity,Vueling Airlines SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
YTST SM Equity,Testa Residencial Socimi SA,EUR,SM,ES,Common Stock,6.3,0,
MPD SM Equity,Minerales y Productos Derivados SA,EUR,SM,ES,Common Stock,11,0,
ENO SQ Equity,Elecnor SA,EUR,SQ,ES,Common Stock,12.35,20144.83,
ITX EU Equity,Industria de Diseno Textil SA,EUR,EU,ES,Common Stock,22.53,16364780,
REPYF US Equity,Repsol SA,USD,US,ES,Common Stock,16.13,634.3666382,
LLN SQ Equity,Lleidanetworks Serveis Telematics SA,EUR,SQ,ES,Common Stock,3.78,70881.53,
NYE SM Equity,NYESA Valores Corp SA,EUR,SM,ES,Common Stock,0.0029,53479130,
MONI SM Equity,Mondo TV Studios SAU,EUR,SM,ES,Common Stock,0.382,25850.7,
RIO SM Equity,Bodegas Riojanas SA,EUR,SM,ES,Common Stock,2.9,1522.233,
APPSEUR EU Equity,Applus Services SA,EUR,EU,ES,Common Stock,7.005,637056.1,
LBTSF US Equity,Almirall SA,USD,US,ES,Common Stock,10.4,26.66666603,
ART SQ Equity,Arteche Lantegi Elkartea SA,EUR,SQ,ES,Common Stock,3.1,12864.57,
ADZ SM Equity,Adolfo Dominguez SA,EUR,SM,ES,Common Stock,3.73,1592.167,
NAT SM Equity,Natra SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
AENAEUR EU Equity,Aena SME SA,EUR,EU,ES,Common Stock,141.4,401469.5,
FERE I2 Equity,Ferrovial SA,EUR,I2,ES,Common Stock,24.11,625975.4,
CABKE QE Equity,CaixaBank SA,EUR,QE,ES,Common Stock,3.433,1862333,
FRRVF US Equity,Ferrovial SA,USD,US,ES,Common Stock,24.8,128.0666656,
GCTAF US Equity,Siemens Gamesa Renewable Energy SA,USD,US,ES,Common Stock,19.15,12881.0332,
1092Z SM Equity,Futbol Club Barcelona SL,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
DIA SQ Equity,Distribuidora Internacional de Alimentacion SA,EUR,SQ,ES,Common Stock,0.0143,33784670,
SCYR EU Equity,Sacyr SA,EUR,EU,ES,Common Stock,2.674,3926961,
YSIL SM Equity,Silicius Real Estate Socimi SA,EUR,SM,ES,Common Stock,15.9,69.96667,
MIO SM Equity,Media Investment Optimization SA,EUR,SM,ES,Common Stock,7,743.7667,
TEFOF US Equity,Telefonica SA,USD,US,ES,Common Stock,5.47,10566.2002,
ALPHI FP Equity,Facephi Biometria SA,EUR,FP,ES,Common Stock,3.05,129.0667,
MED SM Equity,Medcom Tech SA,EUR,SM,ES,Common Stock,0.89,136.8333,
AMP SQ Equity,Amper SA,EUR,SQ,ES,Common Stock,0.248,2050363,
BBVA EU Equity,Banco Bilbao Vizcaya Argentaria SA,EUR,EU,ES,Common Stock,5.099,49678960,
CABKE T1 Equity,CaixaBank SA,EUR,T1,ES,Common Stock,3.433,1553668,
AEDAS SQ Equity,Aedas Homes SA,EUR,SQ,ES,Common Stock,21.9,7221.333,
FERE IX Equity,Ferrovial SA,EUR,IX,ES,Common Stock,24.33,2574.133,
OHLA SQ Equity,Obrascon Huarte Lain SA,EUR,SQ,ES,Common Stock,0.744,1278478,
PRO SQ Equity,Proeduca Altus SL,EUR,SQ,ES,Common Stock,18.3,578.0667,
EEP SM Equity,EuroEspes SA,EUR,SM,ES,Common Stock,0.49,10551.3,
MTB SM Equity,Montebalito SA,EUR,SM,ES,Common Stock,1.4,5326.667,
ALQP FP Equity,Quadpack Industries,EUR,FP,ES,Common Stock,23.2,1,
BTO SM Equity,Banco Espanol de Credito SA,EUR,SM,ES,Common Stock,#N/A N/A,#N/A N/A,
MLSCI FP Equity,Scientia School SA,EUR,FP,ES,Common Stock,#N/A N/A,0,
