Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
ASAI LN Equity,ASA International Group PLC,GBp,LN,NL,Common Stock,98.5,145129.8
CTCA1 NA Equity,Climate Transition Capital Acquisition I BV,EUR,NA,NL,Common Stock,9.7,11885.47
JBS US Equity,JBS Foods International BV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
NEDAP NA Equity,Nedap NV,EUR,NA,NL,Common Stock,60.5,2034.267
SPR1 NA Equity,Spear Investments I BV,EUR,NA,NL,Common Stock,9.9,15007.03
MPCES NO Equity,MPC Energy Solutions NV,NOK,NO,NL,Common Stock,22.5,37558.9
NXPI UW Equity,NXP Semiconductors NV,USD,UW,NL,Common Stock,189.76,1310773
PEN PW Equity,Photon Energy NV,PLN,PW,NL,Common Stock,10.9,18396.27
CNV FP Equity,Cnova NV,EUR,FP,NL,Common Stock,5.1,487.3667
ENVIP NO Equity,Envipco Holding NV,NOK,NO,NL,Common Stock,27.9,2907.6
MNO CN Equity,Meridian Mining UK Societas,CAD,CN,NL,Common Stock,0.71,401548.9
UMGNF US Equity,Universal Music Group NV,USD,US,NL,Common Stock,22.395,18736.33398
ENVI NA Equity,Envipco Holding NV,EUR,NA,NL,Common Stock,2.71,3713.567
CTAC NA Equity,Ctac NV,EUR,NA,NL,Common Stock,3.9,5593.467
ENTPA NA Equity,Energy Transition Partners BV,EUR,NA,NL,Common Stock,10,73.7
HOLCO NA Equity,Holland Colours NV,EUR,NA,NL,Common Stock,159,152.1667
SHV NA Equity,SHV Holdings NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
CABKA NA Equity,Cabka NV,EUR,NA,NL,Common Stock,8.52,4644.2
NIBC NA Equity,NIBC Holding NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
SAE TH Equity,Shop Apotheke Europe NV,EUR,TH,NL,Common Stock,99.3,17515.63
ASML EU Equity,ASML Holding NV,EUR,EU,NL,Common Stock,535.3,2148391
ADYYF US Equity,Adyen NV,USD,US,NL,Common Stock,1539.28,303.8999939
KING NO Equity,Kingfish Co NV/The,NOK,NO,NL,Common Stock,17.4,23486.5
PRX2EUR EU Equity,Prosus NV,EUR,EU,NL,Common Stock,47.97,6432689
HEIN SW Equity,Heineken NV,CHF,SW,NL,Common Stock,104.75,4.666667
AJAX NA Equity,AFC Ajax NV,EUR,NA,NL,Common Stock,12.55,1168.467
ARGXEUR EU Equity,Argenx SE,EUR,EU,NL,Common Stock,293,182196.9
BBED NA Equity,Beter Bed Holding NV,EUR,NA,NL,Common Stock,4.915,34535.1
ASME TH Equity,ASML Holding NV,EUR,TH,NL,Common Stock,537.1,7793.833
EHCS NA Equity,European Healthcare Acquisition & Growth Co BV,EUR,NA,NL,Common Stock,9.45,485.5333
TOI CV Equity,Topicus.com Inc,CAD,CV,NL,Common Stock,66.63,59589.04
GVNV NA Equity,GrandVision BV,EUR,NA,NL,Common Stock,#N/A N/A,0
ADYENEUR EU Equity,Adyen NV,EUR,EU,NL,Common Stock,1440.4,200661.9
STLA UN Equity,Stellantis NV,USD,UN,NL,Common Stock,15.1,1129498.125
1170Z NA Equity,LeasePlan Corp NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
CNH US Equity,CNH Global NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
AVST US Equity,Avast Software BV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
CBI US Equity,Chicago Bridge & Iron Co NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
FCAUEUR EU Equity,Stellantis NV,EUR,EU,NL,Common Stock,14.42,30164440
OCINF US Equity,OCI NV,USD,US,NL,Common Stock,40.05,1147.466675
INGA EU Equity,ING Groep NV,EUR,EU,NL,Common Stock,10.488,47034220
PEN CP Equity,Photon Energy NV,CZK,CP,NL,Common Stock,58.8,23068.1
TOITF US Equity,Topicus.com Inc,USD,US,NL,Common Stock,52.75,3957.733398
UMGEUR EU Equity,Universal Music Group NV,EUR,EU,NL,Common Stock,21.185,5666341
RDA NA Equity,Royal Dutch Petroleum Co,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
4388Z NA Equity,BNG Bank NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
2031196D US Equity,Gemalto Holding BV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
JDEPEUR EU Equity,JDE Peet's NV,EUR,EU,NL,Common Stock,27.24,1023972
2308Z NA Equity,Nederlandse Waterschapsbank NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
AKZA EU Equity,Akzo Nobel NV,EUR,EU,NL,Common Stock,81.48,1458958
GTO NA Equity,Gemalto Holding BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
EAS2P NA Equity,Ease2pay NV,EUR,NA,NL,Common Stock,2.55,3239.1
1012Z NA Equity,de Volksbank NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
HEIA EU Equity,Heineken NV,EUR,EU,NL,Common Stock,93.28,2176818
TKWYEUR EU Equity,Just Eat Takeaway.com NV,EUR,EU,NL,Common Stock,20.775,5697344
BOKA EU Equity,Boskalis Westminster,EUR,EU,NL,Common Stock,32.32,273340
NEWAY NA Equity,Neways Electronics International NV,EUR,NA,NL,Common Stock,13.05,583.5
PHIA EU Equity,Koninklijke Philips NV,EUR,EU,NL,Common Stock,23.635,8044395
NIBNA NA Equity,NIBC Bank NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
KLM NA Equity,Koninklijke Luchtvaart Maatschappij NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
ACCEL EU Equity,Accell Group NV,EUR,EU,NL,Common Stock,51.6,130202.1
ASMLF US Equity,ASML Holding NV,USD,US,NL,Common Stock,572.75,1942.666626
2053579D NA Equity,NSI NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
EXXRF US Equity,EXOR NV,USD,US,NL,Common Stock,74.65,3227.133301
KDSKF US Equity,Koninklijke DSM NV,USD,US,NL,Common Stock,168,2798.133301
DSMA S1 Equity,Koninklijke DSM NV,EUR,S1,NL,Common Stock,155.85,426.2667
HEIO EU Equity,Heineken Holding NV,EUR,EU,NL,Common Stock,73.55,556144.2
0924555D NA Equity,Varo Energy BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
1N8 TH Equity,Adyen NV,EUR,TH,NL,Common Stock,1441,557.1
856310Q NA Equity,Nederlandse Gasunie NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
ARGNF US Equity,Argenx SE,USD,US,NL,Common Stock,293.5,585.9333496
ENXEUR EU Equity,Euronext NV,EUR,EU,NL,Common Stock,80.6,379017.2
ADEUR2 EU Equity,Koninklijke Ahold Delhaize NV,EUR,EU,NL,Common Stock,25.795,7816684
DGB NA Equity,DGB GROUP NV,EUR,NA,NL,Common Stock,0.826,7983.5
DSM EU Equity,Koninklijke DSM NV,EUR,EU,NL,Common Stock,158.3,1044284
FLTDF US Equity,Flow Traders,USD,US,NL,Common Stock,31.3,87.76667023
ALFENEUR EU Equity,Alfen Beheer BV,EUR,EU,NL,Common Stock,102.3,181169.8
INN1 GR Equity,ING Groep NV,EUR,GR,NL,Common Stock,10.494,239591.5
INXN US Equity,InterXion Holding NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
1TY TH Equity,Prosus NV,EUR,TH,NL,Common Stock,48.02,13398.7
HKHHF US Equity,Heineken Holding NV,USD,US,NL,Common Stock,79.05,2850.56665
KKPNF US Equity,Koninklijke KPN NV,USD,US,NL,Common Stock,3.61,211038.7031
PHI1 GR Equity,Koninklijke Philips NV,EUR,GR,NL,Common Stock,23.585,32420.4
PORF NA Equity,Koninklijke Porceleyne Fles NV,EUR,NA,NL,Common Stock,13.7,419.8667
OCIEUR EU Equity,OCI NV,EUR,EU,NL,Common Stock,34.5,1689792
PHIAA S1 Equity,Koninklijke Philips NV,EUR,S1,NL,Common Stock,23.608,5568.933
AMVMF US Equity,AMG Advanced Metallurgical Group NV,USD,US,NL,Common Stock,37.075,233.1000061
RFRG NA Equity,Refresco Group BV/old,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
IGPH SW Equity,Igea Pharma NV,CHF,SW,NL,Common Stock,0.0588,74963.7
BESI EU Equity,BE Semiconductor Industries NV,EUR,EU,NL,Common Stock,57.28,1667926
CLB NA Equity,Core Laboratories NV,EUR,NA,NL,Common Stock,26.5,1611.767
0NX3 LI Equity,ASM International NV,EUR,LI,NL,Common Stock,291.4,11056.23
HDUGF US Equity,Hunter Douglas NV,USD,US,NL,Common Stock,183.7,56.79999924
PHGN SW Equity,Pharming Group NV,CHF,SW,NL,Common Stock,#N/A N/A,#N/A N/A
ZIGGO NA Equity,VodafoneZiggo Employment BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
QIA GF Equity,QIAGEN NV,EUR,GF,NL,Common Stock,42.34,467.9333
CNVAF US Equity,Cnova NV,USD,US,NL,Common Stock,#N/A N/A,0
INN1 TH Equity,ING Groep NV,EUR,TH,NL,Common Stock,10.478,159944.4
EBAC US Equity,European Biotech Acquisition Corp,USD,US,NL,Common Stock,9.75,26361.76758
NUO NA Equity,Nutreco NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
INGVF US Equity,ING Groep NV,USD,US,NL,Common Stock,11.46,27839.36719
2021123D NA Equity,Wesselius Effectenbank BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
GUC NA Equity,Kering Holland NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
HYDRA NA Equity,Hydratec Industries NV,EUR,NA,NL,Common Stock,90,68.76667
PHI1 TH Equity,Koninklijke Philips NV,EUR,TH,NL,Common Stock,23.6,27561.17
SNOW NA Equity,SnowWorld NV,EUR,NA,NL,Common Stock,10,34.4
3584485Z NA Equity,ABN AMRO Bank NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
ICT NA Equity,ICT Group BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
TWT LN Equity,2waytraffic NV,GBp,LN,NL,Common Stock,#N/A N/A,#N/A N/A
INGAA S1 Equity,ING Groep NV,EUR,S1,NL,Common Stock,10.492,11519.4
ARGO IT Equity,Argo Properties NV,ILs,IT,NL,Common Stock,9787,23152.67
AALB EU Equity,Aalberts NV,EUR,EU,NL,Common Stock,47.46,430385.4
RYLPF US Equity,Koninklijke Philips NV,USD,US,NL,Common Stock,25.95,139049.0625
ACGPF US Equity,Accell Group NV,USD,US,NL,Common Stock,55.45,14.60000038
ICTSF US Equity,ICTS International NV,USD,US,NL,Common Stock,7.4,753.0666504
P7V GF Equity,Photon Energy NV,EUR,GF,NL,Common Stock,2.392,1553.733
HNK1 TH Equity,Heineken NV,EUR,TH,NL,Common Stock,93.26,1036.333
NAI NA Equity,NEW Amsterdam Invest NV,EUR,NA,NL,Common Stock,9.4,159.5333
NNEUR EU Equity,NN Group NV,EUR,EU,NL,Common Stock,46.33,1819057
0VD GR Equity,Universal Music Group NV,EUR,GR,NL,Common Stock,21.175,1913.5
1AE GF Equity,Argenx SE,EUR,GF,NL,Common Stock,289.2,0.6666667
ALLG UN Equity,Allego NV,USD,UN,NL,Common Stock,8.05,38296
