,0,1,2
320,104,131,104131
321,104,132,104132
322,104,133,104133
323,104,134,104134
324,104,135,104135
325,104,136,104136
326,104,137,104137
327,104,138,104138
328,104,139,104139
329,104,140,104140
330,104,141,104141
331,104,142,104142
332,104,143,104143
333,104,144,104144
334,104,145,104145
335,104,146,104146
336,104,147,104147
337,104,148,104148
338,104,149,104149
339,104,150,104150
340,104,151,104151
341,104,152,104152
342,104,153,104153
343,104,154,104154
344,104,155,104155
345,104,156,104156
346,104,157,104157
347,104,158,104158
348,104,159,104159
349,104,160,104160
350,104,161,104161
351,104,162,104162
352,104,163,104163
353,104,164,104164
354,104,165,104165
355,104,166,104166
356,104,167,104167
357,104,168,104168
358,104,169,104169
359,104,170,104170
360,104,171,104171
361,104,172,104172
362,104,173,104173
363,104,174,104174
364,104,175,104175
365,104,176,104176
366,104,177,104177
367,104,178,104178
368,104,179,104179
369,104,180,104180
370,104,181,104181
371,104,182,104182
372,104,183,104183
373,104,184,104184
374,104,185,104185
375,104,186,104186
376,104,187,104187
377,104,188,104188
378,104,189,104189
379,104,190,104190
380,104,191,104191
381,104,192,104192
382,104,193,104193
383,104,194,104194
384,104,195,104195
385,104,196,104196
386,104,197,104197
387,104,198,104198
388,104,199,104199
389,104,200,104200
390,105,106,105106
391,105,107,105107
392,105,108,105108
393,105,109,105109
394,105,110,105110
395,105,111,105111
396,105,112,105112
397,105,113,105113
398,105,114,105114
399,105,115,105115
400,105,116,105116
401,105,117,105117
402,105,118,105118
403,105,119,105119
404,105,120,105120
405,105,121,105121
406,105,122,105122
407,105,123,105123
408,105,124,105124
409,105,125,105125
410,105,126,105126
411,105,127,105127
412,105,128,105128
413,105,129,105129
414,105,130,105130
415,105,131,105131
416,105,132,105132
417,105,133,105133
418,105,134,105134
419,105,135,105135
420,105,136,105136
421,105,137,105137
422,105,138,105138
423,105,139,105139
424,105,140,105140
425,105,141,105141
426,105,142,105142
427,105,143,105143
428,105,144,105144
429,105,145,105145
430,105,146,105146
431,105,147,105147
432,105,148,105148
433,105,149,105149
434,105,150,105150
435,105,151,105151
436,105,152,105152
437,105,153,105153
438,105,154,105154
439,105,155,105155
440,105,156,105156
441,105,157,105157
442,105,158,105158
443,105,159,105159
444,105,160,105160
445,105,161,105161
446,105,162,105162
447,105,163,105163
448,105,164,105164
449,105,165,105165
450,105,166,105166
451,105,167,105167
452,105,168,105168
453,105,169,105169
454,105,170,105170
455,105,171,105171
456,105,172,105172
457,105,173,105173
458,105,174,105174
